run,tag,step,value
PPO_1,time/fps,301056,1259.0
PPO_1,train/approx_kl,4096,0.013428870588541031
PPO_1,train/approx_kl,6144,0.01294727623462677
PPO_1,train/approx_kl,8192,0.013005342334508896
PPO_1,train/approx_kl,10240,0.012850104831159115
PPO_1,train/approx_kl,12288,0.013131439685821533
PPO_1,train/approx_kl,14336,0.014144770801067352
PPO_1,train/approx_kl,16384,0.015056045725941658
PPO_1,train/approx_kl,18432,0.0149078955873847
PPO_1,train/approx_kl,20480,0.01571981981396675
PPO_1,train/approx_kl,22528,0.014685038477182388
PPO_1,train/approx_kl,24576,0.015113165602087975
PPO_1,train/approx_kl,26624,0.015948019921779633
PPO_1,train/approx_kl,28672,0.015578732825815678
PPO_1,train/approx_kl,30720,0.015040300786495209
PPO_1,train/approx_kl,32768,0.015168219804763794
PPO_1,train/approx_kl,34816,0.013897964730858803
PPO_1,train/approx_kl,36864,0.014600683003664017
PPO_1,train/approx_kl,38912,0.016044240444898605
PPO_1,train/approx_kl,40960,0.014108614064753056
PPO_1,train/approx_kl,43008,0.01555055845528841
PPO_1,train/approx_kl,45056,0.017753958702087402
PPO_1,train/approx_kl,47104,0.013323810882866383
PPO_1,train/approx_kl,49152,0.013483434915542603
PPO_1,train/approx_kl,51200,0.0159640833735466
PPO_1,train/approx_kl,53248,0.016645770519971848
PPO_1,train/approx_kl,55296,0.013799463398754597
PPO_1,train/approx_kl,57344,0.016052648425102234
PPO_1,train/approx_kl,59392,0.01323143020272255
PPO_1,train/approx_kl,61440,0.01601092517375946
PPO_1,train/approx_kl,63488,0.01651301607489586
PPO_1,train/approx_kl,65536,0.016146406531333923
PPO_1,train/approx_kl,67584,0.016098810359835625
PPO_1,train/approx_kl,69632,0.014772364869713783
PPO_1,train/approx_kl,71680,0.015301457606256008
PPO_1,train/approx_kl,73728,0.015466097742319107
PPO_1,train/approx_kl,75776,0.015869732946157455
PPO_1,train/approx_kl,77824,0.016072671860456467
PPO_1,train/approx_kl,79872,0.017118729650974274
PPO_1,train/approx_kl,81920,0.01612969860434532
PPO_1,train/approx_kl,83968,0.014382265508174896
PPO_1,train/approx_kl,86016,0.016219239681959152
PPO_1,train/approx_kl,88064,0.01700890064239502
PPO_1,train/approx_kl,90112,0.015074477531015873
PPO_1,train/approx_kl,92160,0.01578197255730629
PPO_1,train/approx_kl,94208,0.015051642432808876
PPO_1,train/approx_kl,96256,0.015279259532690048
PPO_1,train/approx_kl,98304,0.013639059849083424
PPO_1,train/approx_kl,100352,0.015957579016685486
PPO_1,train/approx_kl,102400,0.017529049888253212
PPO_1,train/approx_kl,104448,0.014651237055659294
PPO_1,train/approx_kl,106496,0.014470650814473629
PPO_1,train/approx_kl,108544,0.01631324365735054
PPO_1,train/approx_kl,110592,0.016037937253713608
PPO_1,train/approx_kl,112640,0.014650281518697739
PPO_1,train/approx_kl,114688,0.015173664316534996
PPO_1,train/approx_kl,116736,0.01346069760620594
PPO_1,train/approx_kl,118784,0.013847926631569862
PPO_1,train/approx_kl,120832,0.014723437838256359
PPO_1,train/approx_kl,122880,0.013849897310137749
PPO_1,train/approx_kl,124928,0.013735579326748848
PPO_1,train/approx_kl,126976,0.016163064166903496
PPO_1,train/approx_kl,129024,0.014483258128166199
PPO_1,train/approx_kl,131072,0.015466446988284588
PPO_1,train/approx_kl,133120,0.015235298313200474
PPO_1,train/approx_kl,135168,0.014100831001996994
PPO_1,train/approx_kl,137216,0.014003628864884377
PPO_1,train/approx_kl,139264,0.017485179007053375
PPO_1,train/approx_kl,141312,0.015140608884394169
PPO_1,train/approx_kl,143360,0.017941661179065704
PPO_1,train/approx_kl,145408,0.01775345578789711
PPO_1,train/approx_kl,147456,0.015526393428444862
PPO_1,train/approx_kl,149504,0.018945185467600822
PPO_1,train/approx_kl,151552,0.018320145085453987
PPO_1,train/approx_kl,153600,0.01600654050707817
PPO_1,train/approx_kl,155648,0.017481282353401184
PPO_1,train/approx_kl,157696,0.01645083539187908
PPO_1,train/approx_kl,159744,0.017580334097146988
PPO_1,train/approx_kl,161792,0.014660952612757683
PPO_1,train/approx_kl,163840,0.015483871102333069
PPO_1,train/approx_kl,165888,0.01808559149503708
PPO_1,train/approx_kl,167936,0.016039913520216942
PPO_1,train/approx_kl,169984,0.01654398813843727
PPO_1,train/approx_kl,172032,0.014404931105673313
PPO_1,train/approx_kl,174080,0.016530156135559082
PPO_1,train/approx_kl,176128,0.015258591622114182
PPO_1,train/approx_kl,178176,0.015606016851961613
PPO_1,train/approx_kl,180224,0.01687757670879364
PPO_1,train/approx_kl,182272,0.01593935117125511
PPO_1,train/approx_kl,184320,0.015885885804891586
PPO_1,train/approx_kl,186368,0.016919070854783058
PPO_1,train/approx_kl,188416,0.016655851155519485
PPO_1,train/approx_kl,190464,0.016722768545150757
PPO_1,train/approx_kl,192512,0.015399480238556862
PPO_1,train/approx_kl,194560,0.015203832648694515
PPO_1,train/approx_kl,196608,0.016025707125663757
PPO_1,train/approx_kl,198656,0.015498527325689793
PPO_1,train/approx_kl,200704,0.015710249543190002
PPO_1,train/approx_kl,202752,0.01589289680123329
PPO_1,train/approx_kl,204800,0.01694032922387123
PPO_1,train/approx_kl,206848,0.014477263204753399
PPO_1,train/approx_kl,208896,0.016292046755552292
PPO_1,train/approx_kl,210944,0.01388537511229515
PPO_1,train/approx_kl,212992,0.01599859818816185
PPO_1,train/approx_kl,215040,0.015902787446975708
PPO_1,train/approx_kl,217088,0.0174169410020113
PPO_1,train/approx_kl,219136,0.01723954826593399
PPO_1,train/approx_kl,221184,0.015589225105941296
PPO_1,train/approx_kl,223232,0.017079582437872887
PPO_1,train/approx_kl,225280,0.016874879598617554
PPO_1,train/approx_kl,227328,0.017555125057697296
PPO_1,train/approx_kl,229376,0.016655363142490387
PPO_1,train/approx_kl,231424,0.017009621486067772
PPO_1,train/approx_kl,233472,0.01336580514907837
PPO_1,train/approx_kl,235520,0.0167960524559021
PPO_1,train/approx_kl,237568,0.01695120520889759
PPO_1,train/approx_kl,239616,0.014838909730315208
PPO_1,train/approx_kl,241664,0.01719650998711586
PPO_1,train/approx_kl,243712,0.01477495301514864
PPO_1,train/approx_kl,245760,0.014598329551517963
PPO_1,train/approx_kl,247808,0.0169890895485878
PPO_1,train/approx_kl,249856,0.016836661845445633
PPO_1,train/approx_kl,251904,0.011369454674422741
PPO_1,train/approx_kl,253952,0.01360759325325489
PPO_1,train/approx_kl,256000,0.016592472791671753
PPO_1,train/approx_kl,258048,0.016214553266763687
PPO_1,train/approx_kl,260096,0.016189534217119217
PPO_1,train/approx_kl,262144,0.015327882021665573
PPO_1,train/approx_kl,264192,0.01794489473104477
PPO_1,train/approx_kl,266240,0.01754520833492279
PPO_1,train/approx_kl,268288,0.016412055119872093
PPO_1,train/approx_kl,270336,0.016642160713672638
PPO_1,train/approx_kl,272384,0.014079396612942219
PPO_1,train/approx_kl,274432,0.01582452841103077
PPO_1,train/approx_kl,276480,0.01387706771492958
PPO_1,train/approx_kl,278528,0.018353817984461784
PPO_1,train/approx_kl,280576,0.01546349935233593
PPO_1,train/approx_kl,282624,0.01895306073129177
PPO_1,train/approx_kl,284672,0.018217910081148148
PPO_1,train/approx_kl,286720,0.015024863183498383
PPO_1,train/approx_kl,288768,0.014342840760946274
PPO_1,train/approx_kl,290816,0.01761261187493801
PPO_1,train/approx_kl,292864,0.01344187743961811
PPO_1,train/approx_kl,294912,0.015162699855864048
PPO_1,train/approx_kl,296960,0.01589425653219223
PPO_1,train/approx_kl,299008,0.01479586772620678
PPO_1,train/approx_kl,301056,0.015133801847696304
PPO_1,train/clip_fraction,4096,0.13828125596046448
PPO_1,train/clip_fraction,6144,0.10483398288488388
PPO_1,train/clip_fraction,8192,0.11274413764476776
PPO_1,train/clip_fraction,10240,0.12285156548023224
PPO_1,train/clip_fraction,12288,0.12578125298023224
PPO_1,train/clip_fraction,14336,0.12739257514476776
PPO_1,train/clip_fraction,16384,0.13100585341453552
PPO_1,train/clip_fraction,18432,0.14858397841453552
PPO_1,train/clip_fraction,20480,0.14179687201976776
PPO_1,train/clip_fraction,22528,0.13051757216453552
PPO_1,train/clip_fraction,24576,0.13618163764476776
PPO_1,train/clip_fraction,26624,0.15478515625
PPO_1,train/clip_fraction,28672,0.130859375
PPO_1,train/clip_fraction,30720,0.14082030951976776
PPO_1,train/clip_fraction,32768,0.13784179091453552
PPO_1,train/clip_fraction,34816,0.13032226264476776
PPO_1,train/clip_fraction,36864,0.12895508110523224
PPO_1,train/clip_fraction,38912,0.14570312201976776
PPO_1,train/clip_fraction,40960,0.12841796875
PPO_1,train/clip_fraction,43008,0.14897461235523224
PPO_1,train/clip_fraction,45056,0.16845703125
PPO_1,train/clip_fraction,47104,0.13857421278953552
PPO_1,train/clip_fraction,49152,0.13149413466453552
PPO_1,train/clip_fraction,51200,0.16728515923023224
PPO_1,train/clip_fraction,53248,0.15019531548023224
PPO_1,train/clip_fraction,55296,0.13300780951976776
PPO_1,train/clip_fraction,57344,0.14780274033546448
PPO_1,train/clip_fraction,59392,0.13276366889476776
PPO_1,train/clip_fraction,61440,0.142822265625
PPO_1,train/clip_fraction,63488,0.15444335341453552
PPO_1,train/clip_fraction,65536,0.15776367485523224
PPO_1,train/clip_fraction,67584,0.14736327528953552
PPO_1,train/clip_fraction,69632,0.15439453721046448
PPO_1,train/clip_fraction,71680,0.15400390326976776
PPO_1,train/clip_fraction,73728,0.12861327826976776
PPO_1,train/clip_fraction,75776,0.16162109375
PPO_1,train/clip_fraction,77824,0.15029296278953552
PPO_1,train/clip_fraction,79872,0.1708984375
PPO_1,train/clip_fraction,81920,0.15708008408546448
PPO_1,train/clip_fraction,83968,0.13955077528953552
PPO_1,train/clip_fraction,86016,0.150390625
PPO_1,train/clip_fraction,88064,0.15517577528953552
PPO_1,train/clip_fraction,90112,0.14643554389476776
PPO_1,train/clip_fraction,92160,0.14370116591453552
PPO_1,train/clip_fraction,94208,0.12875977158546448
PPO_1,train/clip_fraction,96256,0.15336914360523224
PPO_1,train/clip_fraction,98304,0.12421874701976776
PPO_1,train/clip_fraction,100352,0.15151366591453552
PPO_1,train/clip_fraction,102400,0.17587891221046448
PPO_1,train/clip_fraction,104448,0.14018554985523224
PPO_1,train/clip_fraction,106496,0.128662109375
PPO_1,train/clip_fraction,108544,0.13491210341453552
PPO_1,train/clip_fraction,110592,0.13857421278953552
PPO_1,train/clip_fraction,112640,0.13432617485523224
PPO_1,train/clip_fraction,114688,0.13969726860523224
PPO_1,train/clip_fraction,116736,0.12797851860523224
PPO_1,train/clip_fraction,118784,0.12607422471046448
PPO_1,train/clip_fraction,120832,0.12744140625
PPO_1,train/clip_fraction,122880,0.14301757514476776
PPO_1,train/clip_fraction,124928,0.12983398139476776
PPO_1,train/clip_fraction,126976,0.142333984375
PPO_1,train/clip_fraction,129024,0.15048828721046448
PPO_1,train/clip_fraction,131072,0.14521484076976776
PPO_1,train/clip_fraction,133120,0.13896484673023224
PPO_1,train/clip_fraction,135168,0.12998047471046448
PPO_1,train/clip_fraction,137216,0.14931640028953552
PPO_1,train/clip_fraction,139264,0.15512695908546448
PPO_1,train/clip_fraction,141312,0.13730469346046448
PPO_1,train/clip_fraction,143360,0.15317383408546448
PPO_1,train/clip_fraction,145408,0.15322265028953552
PPO_1,train/clip_fraction,147456,0.141357421875
PPO_1,train/clip_fraction,149504,0.16533203423023224
PPO_1,train/clip_fraction,151552,0.15961913764476776
PPO_1,train/clip_fraction,153600,0.14335937798023224
PPO_1,train/clip_fraction,155648,0.15668945014476776
PPO_1,train/clip_fraction,157696,0.14243164658546448
PPO_1,train/clip_fraction,159744,0.180908203125
PPO_1,train/clip_fraction,161792,0.12812499701976776
PPO_1,train/clip_fraction,163840,0.14814452826976776
PPO_1,train/clip_fraction,165888,0.15913085639476776
PPO_1,train/clip_fraction,167936,0.15512695908546448
PPO_1,train/clip_fraction,169984,0.16694335639476776
PPO_1,train/clip_fraction,172032,0.14785155653953552
PPO_1,train/clip_fraction,174080,0.13837890326976776
